Programme...:	MICH
Date........:	   202021-04-
Heure.......:	     6 16:25:
Colonnes....:	            3
Lignes......:	          337
Décalage....:	           17
Commentaires:	essaie 4, modulage de 10

P.abs.i.(mp):	 1.5150100E+5	P.cal.i.(µm):	-4.2692683E+0	V_min___(mV):	 8.7713730E+5	
P.abs.f.(mp):	 1.5217300E+5	P.cal.f.(µm):	 3.7445538E+0	V_max___(mV):	 5.2784562E+5	
Nbre_de_pts_:	 3.3700000E+2	Délai___(ms):	 7.0000000E+1	Calibration_:	 8.3200000E+0	
Source......:	lumiere blanche - filtre-rouge	
Filtre......:		
Détecteur...:		
Éch._du_pico:		
Temps___(ms):	Pos.cal.(µm):	Tension_(mV):	
 8.7130210E+6	-4.2692683E+0	 6.7904252E+2	
 8.7132290E+6	-4.2454177E+0	 6.7904252E+2	
 8.7135080E+6	-4.2215670E+0	 6.7904252E+2	
 8.7137870E+6	-4.1977163E+0	 6.7904252E+2	
 8.7140670E+6	-4.1738657E+0	 6.7879826E+2	
 8.7143460E+6	-4.1500150E+0	 6.7879826E+2	
 8.7146250E+6	-4.1261644E+0	 6.7879826E+2	
 8.7394810E+6	-2.0034555E+0	 6.8270642E+2	
 8.7397600E+6	-1.9796049E+0	 6.8368345E+2	
 8.7400390E+6	-1.9557542E+0	 6.8441623E+2	
 8.7403190E+6	-1.9319035E+0	 6.8490475E+2	
 8.7405980E+6	-1.9080529E+0	 6.8563753E+2	
 8.7408770E+6	-1.8842022E+0	 6.8637031E+2	
 8.7411570E+6	-1.8603516E+0	 6.8685883E+2	
 8.7414360E+6	-1.8365009E+0	 6.8734735E+2	
 8.7417150E+6	-1.8126502E+0	 6.8783587E+2	
 8.7419940E+6	-1.7887996E+0	 6.8856865E+2	
 8.7422740E+6	-1.7649489E+0	 6.8905717E+2	
 8.7425530E+6	-1.7410983E+0	 6.8905717E+2	
 8.7428320E+6	-1.7172476E+0	 6.8930143E+2	
 8.7431110E+6	-1.6933969E+0	 6.8978995E+2	
 8.7433900E+6	-1.6695463E+0	 6.9003421E+2	
 8.7436690E+6	-1.6456956E+0	 6.9027847E+2	
 8.7439490E+6	-1.6218450E+0	 6.9052273E+2	
 8.7442280E+6	-1.5979943E+0	 6.9076699E+2	
 8.7445070E+6	-1.5741436E+0	 6.9101125E+2	
 8.7447860E+6	-1.5502930E+0	 6.9101125E+2	
 8.7450660E+6	-1.5264423E+0	 6.9101125E+2	
 8.7453450E+6	-1.5025916E+0	 6.9125551E+2	
