Programme...:	MICH
Date........:	   202021-04-
Heure.......:	     6 16:28:
Colonnes....:	            3
Lignes......:	          258
Décalage....:	           17
Commentaires:	essaie 5, modulage de 10

P.abs.i.(mp):	 1.5186700E+5	P.cal.i.(µm):	 9.5402644E-2	V_min___(mV):	 8.6541277E+5	
P.abs.f.(mp):	 1.5238100E+5	P.cal.f.(µm):	 6.2250225E+0	V_max___(mV):	 7.2545189E+5	
Nbre_de_pts_:	 2.5800000E+2	Délai___(ms):	 7.0000000E+1	Calibration_:	 8.3200000E+0	
Source......:	lumiere blanche - filtre-jaune	
Filtre......:		
Détecteur...:		
Éch._du_pico:		
Temps___(ms):	Pos.cal.(µm):	Tension_(mV):	
 8.8920900E+6	 9.5402644E-2	 8.6541277E+2	
 8.8922980E+6	 1.1925331E-1	 8.6419147E+2	
 8.8925780E+6	 1.4310397E-1	 8.6248165E+2	
 8.8928570E+6	 1.6695463E-1	 8.6077183E+2	
 8.8931360E+6	 1.9080529E-1	 8.5906202E+2	
 8.8934150E+6	 2.1465595E-1	 8.5735220E+2	
 8.8936950E+6	 2.3850661E-1	 8.5539812E+2	
 8.9185490E+6	 2.3612154E+0	 8.3390325E+2	
 8.9188280E+6	 2.3850661E+0	 8.2828528E+2	
 8.9191080E+6	 2.4089168E+0	 8.2120174E+2	
 8.9193870E+6	 2.4327674E+0	 8.1265265E+2	
 8.9196660E+6	 2.4566181E+0	 8.0361503E+2	
 8.9199460E+6	 2.4804687E+0	 7.9384464E+2	
 8.9202250E+6	 2.5043194E+0	 7.8407425E+2	
 8.9205040E+6	 2.5281701E+0	 7.7454811E+2	
 8.9207840E+6	 2.5520207E+0	 7.6551050E+2	
 8.9210630E+6	 2.5758714E+0	 7.5671715E+2	
 8.9213420E+6	 2.5997221E+0	 7.4890083E+2	
 8.9216210E+6	 2.6235727E+0	 7.4157304E+2	
 8.9219010E+6	 2.6474234E+0	 7.3595506E+2	
 8.9221800E+6	 2.6712740E+0	 7.3155838E+2	
 8.9224590E+6	 2.6951247E+0	 7.2862726E+2	
 8.9227390E+6	 2.7189754E+0	 7.2667319E+2	
 8.9230180E+6	 2.7428260E+0	 7.2569615E+2	
 8.9232970E+6	 2.7666767E+0	 7.2545189E+2	
 8.9235770E+6	 2.7905273E+0	 7.2642893E+2	
 8.9238560E+6	 2.8143780E+0	 7.2789448E+2	
 8.9241350E+6	 2.8382287E+0	 7.2936004E+2	
 8.9244140E+6	 2.8620793E+0	 7.3082560E+2	
 8.9246940E+6	 2.8859300E+0	 7.3253542E+2	
 8.9249730E+6	 2.9097806E+0	 7.3448950E+2	
 8.9252520E+6	 2.9336313E+0	 7.3668784E+2	
 8.9255320E+6	 2.9574820E+0	 7.3937470E+2	
 8.9258110E+6	 2.9813326E+0	 7.4328285E+2	
 8.9260900E+6	 3.0051833E+0	 7.4816805E+2	
 8.9263690E+6	 3.0290340E+0	 7.5378603E+2	
 8.9266490E+6	 3.0528846E+0	 7.6062530E+2	
 8.9269280E+6	 3.0767353E+0	 7.6844162E+2	
 8.9272070E+6	 3.1005859E+0	 7.7650219E+2	
 8.9274870E+6	 3.1244366E+0	 7.8480703E+2	
 8.9277660E+6	 3.1482873E+0	 7.9286760E+2	
 8.9280450E+6	 3.1721379E+0	 8.0092818E+2	
 8.9283250E+6	 3.1959886E+0	 8.0825597E+2	
 8.9286030E+6	 3.2198392E+0	 8.1436247E+2	
 8.9288820E+6	 3.2436899E+0	 8.1924766E+2	
 8.9291610E+6	 3.2675406E+0	 8.2291156E+2	
 8.9294420E+6	 3.2913912E+0	 8.2486564E+2	
 8.9297200E+6	 3.3152419E+0	 8.2486564E+2	
 8.9299990E+6	 3.3390925E+0	 8.2413286E+2	
 8.9302790E+6	 3.3629432E+0	 8.2193452E+2	
 8.9305580E+6	 3.3867939E+0	 8.1875914E+2	
 8.9308370E+6	 3.4106445E+0	 8.1411821E+2	
 8.9311180E+6	 3.4344952E+0	 8.0850023E+2	
 8.9313970E+6	 3.4583459E+0	 8.0239373E+2	
 8.9316750E+6	 3.4821965E+0	 7.9604298E+2	
 8.9319550E+6	 3.5060472E+0	 7.8920370E+2	
 8.9322350E+6	 3.5298978E+0	 7.8236443E+2	
 8.9325130E+6	 3.5537485E+0	 7.7650219E+2	
 8.9327920E+6	 3.5775992E+0	 7.7088422E+2	
 8.9330720E+6	 3.6014498E+0	 7.6575476E+2	
 8.9333510E+6	 3.6253005E+0	 7.6135808E+2	
 8.9336300E+6	 3.6491511E+0	 7.5818270E+2	
 8.9339090E+6	 3.6730018E+0	 7.5622863E+2	
 8.9341880E+6	 3.6968525E+0	 7.5476307E+2	
 8.9344670E+6	 3.7207031E+0	 7.5403029E+2	
 8.9347460E+6	 3.7445538E+0	 7.5451881E+2	
 8.9350260E+6	 3.7684044E+0	 7.5598437E+2	
 8.9353050E+6	 3.7922551E+0	 7.5818270E+2	
 8.9355840E+6	 3.8161058E+0	 7.6184660E+2	
 8.9358640E+6	 3.8399564E+0	 7.6624328E+2	
 8.9361430E+6	 3.8638071E+0	 7.7112848E+2	
 8.9364220E+6	 3.8876578E+0	 7.7625793E+2	
 8.9367020E+6	 3.9115084E+0	 7.8163165E+2	
 8.9369810E+6	 3.9353591E+0	 7.8724962E+2	
 8.9372600E+6	 3.9592097E+0	 7.9262334E+2	
 8.9375390E+6	 3.9830604E+0	 7.9702002E+2	
 8.9378190E+6	 4.0069111E+0	 8.0043966E+2	
 8.9380980E+6	 4.0307617E+0	 8.0312651E+2	
 8.9383770E+6	 4.0546124E+0	 8.0410355E+2	
 8.9386570E+6	 4.0784630E+0	 8.0410355E+2	
 8.9389360E+6	 4.1023137E+0	 8.0288225E+2	
 8.9392150E+6	 4.1261644E+0	 8.0092818E+2	
 8.9394940E+6	 4.1500150E+0	 7.9775280E+2	
 8.9397740E+6	 4.1738657E+0	 7.9408890E+2	
 8.9400530E+6	 4.1977163E+0	 7.8969222E+2	
 8.9403320E+6	 4.2215670E+0	 7.8529555E+2	
 8.9406120E+6	 4.2454177E+0	 7.8163165E+2	
 8.9408910E+6	 4.2692683E+0	 7.7796775E+2	
 8.9411700E+6	 4.2931190E+0	 7.7479237E+2	
 8.9414500E+6	 4.3169697E+0	 7.7234977E+2	
 8.9417290E+6	 4.3408203E+0	 7.7112848E+2	
 8.9420080E+6	 4.3646710E+0	 7.7015144E+2	
 8.9422860E+6	 4.3885216E+0	 7.7015144E+2	
 8.9425660E+6	 4.4123723E+0	 7.7063996E+2	
 8.9428450E+6	 4.4362230E+0	 7.7137274E+2	
 8.9431240E+6	 4.4600736E+0	 7.7381533E+2	
 8.9434040E+6	 4.4839243E+0	 7.7625793E+2	
 8.9436830E+6	 4.5077749E+0	 7.7894479E+2	
 8.9439620E+6	 4.5316256E+0	 7.8187591E+2	
 8.9442420E+6	 4.5554763E+0	 7.8480703E+2	
 8.9445210E+6	 4.5793269E+0	 7.8700536E+2	
 8.9448000E+6	 4.6031776E+0	 7.8920370E+2	
 8.9450790E+6	 4.6270282E+0	 7.9115778E+2	
 8.9453590E+6	 4.6508789E+0	 7.9262334E+2	
 8.9456380E+6	 4.6747296E+0	 7.9433316E+2	
 8.9459170E+6	 4.6985802E+0	 7.9408890E+2	
 8.9461970E+6	 4.7224309E+0	 7.9360038E+2	
 8.9464760E+6	 4.7462816E+0	 7.9286760E+2	
 8.9467550E+6	 4.7701322E+0	 7.9140204E+2	
 8.9470350E+6	 4.7939829E+0	 7.8944796E+2	
 8.9473140E+6	 4.8178335E+0	 7.8749388E+2	
 8.9475930E+6	 4.8416842E+0	 7.8553981E+2	
 8.9478720E+6	 4.8655349E+0	 7.8334147E+2	
 8.9481520E+6	 4.8893855E+0	 7.8138739E+2	
 8.9484310E+6	 4.9132362E+0	 7.7967757E+2	
 8.9487100E+6	 4.9370868E+0	 7.7870053E+2	
 8.9489900E+6	 4.9609375E+0	 7.7772349E+2	
 8.9492690E+6	 4.9847882E+0	 7.7674645E+2	
 8.9495480E+6	 5.0086388E+0	 7.7650219E+2	
 8.9498280E+6	 5.0324895E+0	 7.7699071E+2	
 8.9501070E+6	 5.0563401E+0	 7.7772349E+2	
 8.9503860E+6	 5.0801908E+0	 7.7870053E+2	
 8.9506650E+6	 5.1040415E+0	 7.8016609E+2	
 8.9509450E+6	 5.1278921E+0	 7.8163165E+2	
 8.9512240E+6	 5.1517428E+0	 7.8309721E+2	
 8.9515030E+6	 5.1755934E+0	 7.8431851E+2	
 8.9517830E+6	 5.1994441E+0	 7.8553981E+2	
 8.9520620E+6	 5.2232948E+0	 7.8724962E+2	
 8.9523410E+6	 5.2471454E+0	 7.8871518E+2	
 8.9526200E+6	 5.2709961E+0	 7.8944796E+2	
 8.9529000E+6	 5.2948468E+0	 7.9018074E+2	
 8.9531790E+6	 5.3186974E+0	 7.9066926E+2	
 8.9534580E+6	 5.3425481E+0	 7.9066926E+2	
 8.9537380E+6	 5.3663987E+0	 7.9042500E+2	
 8.9540170E+6	 5.3902494E+0	 7.8993648E+2	
 8.9542960E+6	 5.4141001E+0	 7.8944796E+2	
 8.9545760E+6	 5.4379507E+0	 7.8895944E+2	
 8.9548550E+6	 5.4618014E+0	 7.8749388E+2	
 8.9551340E+6	 5.4856520E+0	 7.8602833E+2	
 8.9554130E+6	 5.5095027E+0	 7.8480703E+2	
 8.9556930E+6	 5.5333534E+0	 7.8358573E+2	
 8.9559720E+6	 5.5572040E+0	 7.8236443E+2	
 8.9562510E+6	 5.5810547E+0	 7.8138739E+2	
 8.9565310E+6	 5.6049053E+0	 7.8114313E+2	
 8.9568100E+6	 5.6287560E+0	 7.8138739E+2	
 8.9570890E+6	 5.6526067E+0	 7.8138739E+2	
